z_A	valence_CHGCAR_e_A3	dencor_e_A3	phi_hartree_eV	phi_local_eV	phi_sol_no_dipole_eV
1.248697916667e+01	2.739685126410e-01	1.333685919869e-04	8.627099028609e+02	-8.635473708993e+02	-8.374680383334e-01
1.257812500000e+01	2.703618139383e-01	1.183729253826e-04	8.548810528305e+02	-8.556416200117e+02	-7.605671811709e-01
1.266927083333e+01	2.611684267327e-01	9.512724394701e-05	8.467961089339e+02	-8.474334439376e+02	-6.373350037538e-01
1.276041666667e+01	2.500588446287e-01	7.336653939499e-05	8.384684209847e+02	-8.389473696533e+02	-4.789486686116e-01
1.285156250000e+01	2.408599612008e-01	6.048460845854e-05	8.299142005859e+02	-8.302437690706e+02	-3.295684847075e-01
1.294270833333e+01	2.360200393485e-01	5.904377371962e-05	8.211469632886e+02	-8.213797236605e+02	-2.327603718986e-01
1.303385416667e+01	2.357633637357e-01	6.685290365420e-05	8.121739602106e+02	-8.123779262191e+02	-2.039660085531e-01
1.312500000000e+01	2.385143068818e-01	7.857540230688e-05	8.029957826083e+02	-8.032230516408e+02	-2.272690324197e-01
1.321614583333e+01	2.421321972035e-01	8.840941238849e-05	7.936085723291e+02	-7.938666267420e+02	-2.580544128982e-01
1.330729166667e+01	2.451827376267e-01	9.166321348918e-05	7.840070728031e+02	-7.842662545588e+02	-2.591817556410e-01
1.339843750000e+01	2.474479989868e-01	8.616599259419e-05	7.741867256928e+02	-7.744496014117e+02	-2.628757188164e-01
1.348958333333e+01	2.498790470141e-01	7.479736118856e-05	7.641440017680e+02	-7.644418525942e+02	-2.978508262061e-01
1.358072916667e+01	2.538789923278e-01	6.514952868288e-05	7.538750627769e+02	-7.542294911165e+02	-3.544283396275e-01
1.367187500000e+01	2.601501059185e-01	6.534946384139e-05	7.433738026306e+02	-7.437720073147e+02	-3.982046840961e-01
1.376302083333e+01	2.680120139321e-01	7.851894997533e-05	7.326308828539e+02	-7.330425983202e+02	-4.117154662649e-01
1.385416666667e+01	2.758351293484e-01	1.001832691749e-04	7.216346952719e+02	-7.220253404602e+02	-3.906451882967e-01
1.394531250000e+01	2.819312239223e-01	1.201677361995e-04	7.103736940872e+02	-7.107419394943e+02	-3.682454071816e-01
1.403645833333e+01	2.850185183069e-01	1.286983280494e-04	6.988388747130e+02	-6.992117010413e+02	-3.728263283563e-01
1.412760416667e+01	2.841890170127e-01	1.226260792580e-04	6.870257109197e+02	-6.874188599653e+02	-3.931490456517e-01
1.421875000000e+01	2.791102655182e-01	1.067239535972e-04	6.749354956502e+02	-6.753068579016e+02	-3.713622513456e-01
1.430989583333e+01	2.705543687153e-01	8.908207283666e-05	6.625757674466e+02	-6.628281775380e+02	-2.524100914104e-01
1.440104166667e+01	2.605318956757e-01	7.550638349291e-05	6.499591347157e+02	-6.500077942957e+02	-4.865958001425e-02
1.449218750000e+01	2.519448557905e-01	6.694465224443e-05	6.371002931842e+02	-6.369323931183e+02	1.679000658608e-01
1.458333333333e+01	2.475002825779e-01	6.159499066925e-05	6.240118033531e+02	-6.237053580504e+02	3.064453026950e-01
1.467447916667e+01	2.484631465695e-01	5.890535558291e-05	6.107001869908e+02	-6.103815271732e+02	3.186598175284e-01
1.476562500000e+01	2.544431215647e-01	6.114396577763e-05	5.971640515138e+02	-5.969187715597e+02	2.452799541203e-01
1.485677083333e+01	2.642360111424e-01	7.072291819838e-05	5.833945656263e+02	-5.832490597572e+02	1.455058691497e-01
1.494791666667e+01	2.768278694618e-01	8.682764352106e-05	5.693771347920e+02	-5.693363895555e+02	4.074523651821e-02
1.503906250000e+01	2.913257296774e-01	1.052123009851e-04	5.550929324437e+02	-5.551539551816e+02	-6.102273793936e-02
1.513020833333e+01	3.058160059700e-01	1.206208392856e-04	5.405204014939e+02	-5.406793524771e+02	-1.589509831952e-01
1.522135416667e+01	3.170282634924e-01	1.296965578865e-04	5.256381768388e+02	-5.258822591174e+02	-2.440822785772e-01
1.531250000000e+01	3.215137532524e-01	1.329869116345e-04	5.104298477344e+02	-5.106967413950e+02	-2.668936606648e-01
1.540364583333e+01	3.173584464954e-01	1.329793847135e-04	4.948889153608e+02	-4.950554716499e+02	-1.665562891040e-01
1.549479166667e+01	3.048629631458e-01	1.306731306294e-04	4.790215836560e+02	-4.789592054848e+02	6.237817119504e-02
1.558593750000e+01	2.858363492110e-01	1.244718287369e-04	4.628464007614e+02	-4.624583678697e+02	3.880328916825e-01
1.567708333333e+01	2.623003398643e-01	1.118103612187e-04	4.463917118008e+02	-4.456364614979e+02	7.552503028886e-01
1.576822916667e+01	2.358875732248e-01	9.226428716569e-05	4.296926961972e+02	-4.285814018571e+02	1.111294340145e+00
1.585937500000e+01	2.081060234363e-01	6.952848333132e-05	4.127888720582e+02	-4.113317350927e+02	1.457136965522e+00
1.595052083333e+01	1.805235717587e-01	4.947197250532e-05	3.957218049734e+02	-3.939129554941e+02	1.808849479250e+00
1.604166666667e+01	1.545861881718e-01	3.633742601968e-05	3.785327760052e+02	-3.763671448370e+02	2.165631168171e+00
1.613281250000e+01	1.313485733111e-01	3.041139090875e-05	3.612606435590e+02	-3.587587399006e+02	2.501903658405e+00
