z_A	RHOB_DFT_e_A3	RHOB_py_refphi_e_A3	RHOION_DFT_e_A3	RHOION_py_refphi_e_A3
2.214843750000e+01	1.021193681579e-03	1.021193696154e-03	-1.037408872025e-03	-1.037408872313e-03
2.223958333333e+01	1.005475355532e-03	1.005475340479e-03	-1.022160091788e-03	-1.022160092005e-03
2.233072916667e+01	9.857789124942e-04	9.857789276474e-04	-1.001267647633e-03	-1.001267647753e-03
2.242187500000e+01	9.628071342596e-04	9.628071187380e-04	-9.780568228652e-04	-9.780568229095e-04
2.251302083333e+01	9.379941326589e-04	9.379941483734e-04	-9.520136354793e-04	-9.520136354900e-04
2.260416666667e+01	9.128418443245e-04	9.128418282855e-04	-9.270891931827e-04	-9.270891931843e-04
2.269531250000e+01	8.883387596478e-04	8.883387759330e-04	-9.015328490387e-04	-9.015328490388e-04
2.278645833333e+01	8.646738074023e-04	8.646737908103e-04	-8.778397834985e-04	-8.778397834984e-04
2.287760416667e+01	8.415880486247e-04	8.415880655016e-04	-8.536988705647e-04	-8.536988705647e-04
2.296875000000e+01	8.190338268281e-04	8.190338096556e-04	-8.314006973108e-04	-8.314006973108e-04
2.305989583333e+01	7.972328087079e-04	7.972328262033e-04	-8.086466281832e-04	-8.086466281831e-04
2.315104166667e+01	7.762057849068e-04	7.762057671151e-04	-7.876708386535e-04	-7.876708386534e-04
2.324218750000e+01	7.557151606114e-04	7.557151787618e-04	-7.662481560754e-04	-7.662481560753e-04
2.333333333333e+01	7.357232518545e-04	7.357232336506e-04	-7.465553070375e-04	-7.465553070375e-04
2.342447916667e+01	7.164386740947e-04	7.164386946011e-04	-7.264096132314e-04	-7.264096132316e-04
2.351562500000e+01	6.978730416429e-04	6.978730297231e-04	-7.079261636324e-04	-7.079261636323e-04
