z_A	nval_CHGCAR	nval_DBG	dencor_py	dencor_DBG	ne_py	ne_DBG	phisol_py_eV	cvhar_DBG_eV	cvdip_DBG_eV	phisol_DBG_eV	phi_final_DBG_eV
2.524739583333e+01	9.474436825667e-04	9.474436828458e-04	9.675657227278e-07	-3.487283009640e-06	9.484112482894e-04	9.439563998786e-04	1.190648255676e+00	1.190686485920e+00	-6.856957335000e-02	1.122116912570e+00	9.666771333292e-03
2.533854166667e+01	-8.024462480291e-04	-8.024462476514e-04	-4.667340213945e-07	3.988129430556e-06	-8.029129820505e-04	-7.984581181904e-04	1.169812858130e+00	1.169854086902e+00	-6.937627421300e-02	1.100477812689e+00	9.482112193826e-03
2.542968750000e+01	-8.251785596683e-04	-8.251785588915e-04	9.613741955850e-07	-3.493506729031e-06	-8.242171854727e-04	-8.286720656020e-04	1.149196546034e+00	1.149233286132e+00	-7.018297507500e-02	1.079050311056e+00	9.291481198427e-03
2.552083333333e+01	9.207170550027e-04	9.207170556152e-04	-7.550637122581e-07	3.699831221305e-06	9.199619912905e-04	9.244168868674e-04	1.128813735610e+00	1.128853474333e+00	-7.098967593800e-02	1.057863798395e+00	9.123896082511e-03
2.561197916667e+01	9.408016376511e-04	9.408016381603e-04	1.038440661164e-06	-3.416472115859e-06	9.418400783122e-04	9.373851660448e-04	1.108650546248e+00	1.108685796199e+00	-7.179637680100e-02	1.036889419398e+00	8.950692569801e-03
2.570312500000e+01	-8.076094154251e-04	-8.076094145393e-04	-8.240475395382e-07	3.630879820416e-06	-8.084334629646e-04	-8.039785346945e-04	1.088719673772e+00	1.088757922448e+00	-7.260307766400e-02	1.016154844783e+00	8.799169770826e-03
2.579427083333e+01	-8.311235652682e-04	-8.311235641440e-04	1.446740343451e-06	-3.008200639735e-06	-8.296768249248e-04	-8.341317647868e-04	1.069009593378e+00	1.069043353183e+00	-7.340977852700e-02	9.956335746560e-01	8.642608303246e-03
2.588541666667e+01	9.157531757618e-04	9.157531765472e-04	-6.194829265856e-07	3.835482565205e-06	9.151336928353e-04	9.195886591287e-04	1.049531301183e+00	1.049568059811e+00	-7.421647939000e-02	9.753515804213e-01	8.506477275624e-03
2.597656250000e+01	9.392926265087e-04	9.392926271791e-04	1.872231344957e-06	-2.582737724256e-06	9.411648578536e-04	9.367098894559e-04	1.030274354010e+00	1.030306623668e+00	-7.502318025300e-02	9.552834434154e-01	8.365416332380e-03
2.606770833333e+01	-8.099348087479e-04	-8.099348073793e-04	-6.964008489134e-07	3.758590727628e-06	-8.106312095969e-04	-8.061762165777e-04	1.011248017187e+00	1.011283285769e+00	-7.582988111600e-02	9.354534046534e-01	8.243296544655e-03
2.615885416667e+01	-8.360453418154e-04	-8.360453403046e-04	1.877514988961e-06	-2.577497078384e-06	-8.341678268264e-04	-8.386228373274e-04	9.924441912531e-01	9.924749707645e-01	-7.663658197900e-02	9.158383887855e-01	8.116783307933e-03
2.625000000000e+01	9.155770971425e-04	9.155770978086e-04	-1.091989830670e-06	3.363028037464e-06	9.144851073119e-04	9.189401259255e-04	9.738704451265e-01	9.739042236614e-01	-7.744328284200e-02	8.964609408196e-01	8.007918991444e-03
2.634114583333e+01	9.448750493277e-04	9.448750503823e-04	1.823414239451e-06	-2.631625515291e-06	9.466984635671e-04	9.422434249367e-04	9.555197362288e-01	9.555490255922e-01	-7.824998370500e-02	8.772990418874e-01	7.894947326155e-03
2.643229166667e+01	-8.095318316031e-04	-8.095318307551e-04	-1.304979803625e-06	3.150075105349e-06	-8.108368114067e-04	-8.063817555361e-04	9.373979306122e-01	9.374302190999e-01	-7.905668456800e-02	8.583735345321e-01	7.799141037614e-03
2.652343750000e+01	-8.415088986755e-04	-8.415088981871e-04	2.090269738927e-06	-2.364800342313e-06	-8.394186289365e-04	-8.438736984099e-04	9.195003314394e-01	9.195281306553e-01	-7.986338543100e-02	8.396647452246e-01	7.701625160472e-03
2.661458333333e+01	9.189777427558e-04	9.189777440734e-04	-1.195157526094e-06	3.259931464420e-06	9.177825852297e-04	9.222376757258e-04	9.018311142882e-01	9.018619127302e-01	-8.067008629400e-02	8.211918264365e-01	7.621587529374e-03
2.670572916667e+01	9.582932613503e-04	9.582932621636e-04	2.529626806025e-06	-1.925470007216e-06	9.608228881564e-04	9.563677923154e-04	8.843866404778e-01	8.844129495455e-01	-8.147678715700e-02	8.029361623889e-01	7.539884370991e-03
2.679687500000e+01	-8.040112715199e-04	-8.040112709521e-04	-1.180994045373e-06	3.274128238048e-06	-8.051922655653e-04	-8.007371425264e-04	8.671693744553e-01	8.671986828518e-01	-8.228348802000e-02	7.849151948322e-01	7.472643053103e-03
2.688802083333e+01	-8.457323597749e-04	-8.457323595376e-04	2.632119776432e-06	-1.823016420498e-06	-8.431002399985e-04	-8.475553757850e-04	8.501780188063e-01	8.502028377256e-01	-8.309018888200e-02	7.671126488431e-01	7.402746642488e-03
2.697916666667e+01	9.253676597613e-04	9.253676602551e-04	-1.580248470153e-06	2.874897127647e-06	9.237874112911e-04	9.282425575800e-04	8.334133487576e-01	8.334411671095e-01	-8.389688974500e-02	7.495442773641e-01	7.345740501637e-03
2.707031250000e+01	9.774750047459e-04	9.774750054443e-04	2.470677544627e-06	-1.984491068065e-06	9.799456822905e-04	9.754905145699e-04	8.168751187038e-01	8.168984474739e-01	-8.470359060800e-02	7.321948568656e-01	7.287479563606e-03
2.716145833333e+01	-7.944431240060e-04	-7.944431230559e-04	-1.991866265409e-06	2.463317968320e-06	-7.964349902715e-04	-7.919798048461e-04	8.005623814984e-01	8.005887098053e-01	-8.551029147100e-02	7.150784183340e-01	7.243639265553e-03
2.725260416667e+01	-8.476340680173e-04	-8.476340679463e-04	2.459876078831e-06	-1.995320166664e-06	-8.451741919385e-04	-8.496293879381e-04	7.844772481392e-01	7.844990867595e-01	-8.631699233400e-02	6.981820944254e-01	7.202667379220e-03
2.734375000000e+01	9.366656572975e-04	9.366656575895e-04	-2.245412571729e-06	2.209803721126e-06	9.344202447258e-04	9.388754614911e-04	7.686170982240e-01	7.686419364863e-01	-8.712369319700e-02	6.815182432892e-01	7.175673978108e-03
2.743489583333e+01	1.003073218949e-03	1.003073218865e-03	2.555862657553e-06	-1.899367725544e-06	1.005629081606e-03	1.001173851292e-03	7.529850903789e-01	7.530054388492e-01	-8.793039406000e-02	6.650750447891e-01	7.147427085892e-03
2.752604166667e+01	-7.822169859171e-04	-7.822169854763e-04	-2.441983889175e-06	2.013263892520e-06	-7.846589698063e-04	-7.802037214148e-04	7.375768775554e-01	7.376002257738e-01	-8.873709492300e-02	6.488631308508e-01	7.126144060422e-03
2.761718750000e+01	-8.496396829848e-04	-8.496396826243e-04	2.687255533355e-06	-1.768007727264e-06	-8.469524274514e-04	-8.514076902161e-04	7.223979774668e-01	7.224168357872e-01	-8.954379578600e-02	6.328730400012e-01	7.104524070187e-03
2.770833333333e+01	9.510547065049e-04	9.510547070437e-04	-2.620000787564e-06	1.835279189883e-06	9.484347057173e-04	9.528899863867e-04	7.074423514086e-01	7.074642095845e-01	-9.035049664900e-02	6.171137129356e-01	7.095935722540e-03
2.779947916667e+01	1.034590694013e-03	1.034590694068e-03	2.831170564969e-06	-1.624126483873e-06	1.037421864578e-03	1.032966567703e-03	6.927165630037e-01	6.927339311724e-01	-9.115719751200e-02	6.015767336606e-01	7.092784307728e-03
2.789062500000e+01	-7.674374230961e-04	-7.674374225893e-04	-2.779502488911e-06	1.675809359780e-06	-7.702169255850e-04	-7.657616130862e-04	6.782128379375e-01	6.782332060708e-01	-9.196389837500e-02	5.862693076960e-01	7.096997716118e-03
2.798177083333e+01	-8.530396066027e-04	-8.530396065441e-04	3.020257652864e-06	-1.435073079376e-06	-8.500193489499e-04	-8.544746795115e-04	6.639401268535e-01	6.639560048702e-01	-9.277059923800e-02	5.711854056326e-01	7.096985022496e-03
2.807291666667e+01	9.657560261501e-04	9.657560269489e-04	-2.885448100602e-06	1.569896609963e-06	9.628705780495e-04	9.673259236898e-04	6.498889806729e-01	6.499078587640e-01	-9.357730010100e-02	5.563305586634e-01	7.099834283627e-03
2.816406250000e+01	1.069425655066e-03	1.069425655363e-03	3.251327880122e-06	-1.204035360715e-06	1.072676982946e-03	1.068221620101e-03	6.360693975706e-01	6.360837854346e-01	-9.438400096400e-02	5.416997844711e-01	7.107644298171e-03
2.825520833333e+01	-7.505257033274e-04	-7.505257028346e-04	-2.985994423281e-06	1.469384905142e-06	-7.535116977506e-04	-7.490563178075e-04	6.224701682633e-01	6.224875563135e-01	-9.519070182600e-02	5.272968544870e-01	7.124984517712e-03
2.834635416667e+01	-8.560104859604e-04	-8.560104859227e-04	3.460314982181e-06	-9.950815281152e-07	-8.525501709782e-04	-8.570055673645e-04	6.091036756230e-01	6.091165733339e-01	-9.599740268900e-02	5.131191706445e-01	7.139187316946e-03
2.843750000000e+01	9.825837904901e-04	9.825837910126e-04	-3.128280285554e-06	1.327131861240e-06	9.794555102046e-04	9.839109229850e-04	5.959570039866e-01	5.959729019965e-01	-9.680410355200e-02	4.991687984441e-01	7.146949260053e-03
2.852864583333e+01	1.106790601254e-03	1.106790601668e-03	3.637498190379e-06	-8.179319081028e-07	1.110428099444e-03	1.105972669855e-03	5.830436110071e-01	5.830550185636e-01	-9.761080441500e-02	4.854442141483e-01	7.158244750022e-03
2.861979166667e+01	-7.354117341450e-04	-7.354117332962e-04	-3.289813071331e-06	1.165634633060e-06	-7.387015472164e-04	-7.342460985371e-04	5.703488165607e-01	5.703632245309e-01	-9.841750527800e-02	4.719457192526e-01	7.181600055088e-03
2.871093750000e+01	-8.635637943310e-04	-8.635637935336e-04	3.798562086553e-06	-6.569008516423e-07	-8.597652322444e-04	-8.642206942791e-04	5.578884961713e-01	5.578984135726e-01	-9.922420614100e-02	4.586742074315e-01	7.204037334273e-03
2.880208333333e+01	9.982713523486e-04	9.982713523129e-04	-3.501390458941e-06	9.540908233028e-07	9.947699618896e-04	9.992254432416e-04	5.456462776423e-01	5.456591955741e-01	-1.000309070000e-01	4.456282885700e-01	7.215643037421e-03
2.889322916667e+01	1.146204042996e-03	1.146204042979e-03	3.885778847468e-06	-5.697200513341e-07	1.150089821843e-03	1.145634323033e-03	5.336390974947e-01	5.336475247407e-01	-1.008376078700e-01	4.328099168737e-01	7.234854199937e-03
2.898437500000e+01	-7.213053810391e-04	-7.213053813109e-04	-3.783119338398e-06	6.723956210177e-07	-7.250885003775e-04	-7.206329855899e-04	5.218487636185e-01	5.218601915128e-01	-1.016443087300e-01	4.202158827828e-01	7.261430835381e-03
2.907552083333e+01	-8.759266700525e-04	-8.759266695338e-04	3.954600602975e-06	-5.009336271371e-07	-8.719720694495e-04	-8.764276030428e-04	5.102946576057e-01	5.103015946951e-01	-1.024510095900e-01	4.078505851022e-01	7.290714924948e-03
2.916666666667e+01	1.010821278874e-03	1.010821279031e-03	-4.031142086400e-06	4.244065386137e-07	1.006790136787e-03	1.011245685695e-03	4.989568758215e-01	4.989668136789e-01	-1.032577104600e-01	3.957091032231e-01	7.385809845069e-03
2.925781250000e+01	1.185031264598e-03	1.185031265227e-03	4.104002380119e-06	-3.515680181147e-07	1.189135266978e-03	1.184679697321e-03	4.878558867396e-01	4.878613336709e-01	-1.040644113200e-01	3.837969223521e-01	7.709992369887e-03
2.934895833333e+01	-7.100979690280e-04	-7.100979688186e-04	-4.181008042863e-06	2.745766176101e-07	-7.142789770709e-04	-7.098233920638e-04	4.769699499811e-01	4.769783978027e-01	-1.048711121800e-01	3.721072856210e-01	8.369463338033e-03
2.944010416667e+01	-8.941210250252e-04	-8.941210243541e-04	4.363239660856e-06	-9.236452123570e-08	-8.897577853644e-04	-8.942133887637e-04	4.663220197387e-01	4.663259765107e-01	-1.056778130400e-01	3.606481634661e-01	9.342335160465e-03
2.953125000000e+01	1.019083161851e-03	1.019083162386e-03	-4.246040834309e-06	2.095809020020e-07	1.014837121017e-03	1.019292743398e-03	4.558886340251e-01	4.558955918120e-01	-1.064845139100e-01	3.494110779044e-01	1.050156157944e-02
2.962239583333e+01	1.221165607436e-03	1.221165609315e-03	4.666323511654e-06	2.106840803021e-07	1.225831930948e-03	1.221376293483e-03	4.456938394490e-01	4.456963060611e-01	-1.072912147700e-01	3.384050912906e-01	1.174930021187e-02
2.971354166667e+01	-7.044535699942e-04	-7.044535688867e-04	-4.334387557677e-06	1.212709193304e-07	-7.087879575519e-04	-7.043322978354e-04	4.357123076810e-01	4.357177754347e-01	-1.080979156300e-01	3.276198598011e-01	1.301849313245e-02
2.980468750000e+01	-9.199406621719e-04	-9.199406607999e-04	4.894992229798e-06	4.393166175531e-07	-9.150456699421e-04	-9.195013441305e-04	4.259705903917e-01	4.259715668431e-01	-1.089046165000e-01	3.170669503467e-01	1.430020769964e-02
2.989583333333e+01	1.023181667377e-03	1.023181667628e-03	-4.533498881404e-06	-7.780414612264e-08	1.018648168496e-03	1.023103863518e-03	4.164416120506e-01	4.164455897725e-01	-1.097113173600e-01	3.067342724132e-01	1.557700662965e-02
2.998697916667e+01	1.256005261358e-03	1.256005261071e-03	5.036607455847e-06	5.808941932808e-07	1.261041868814e-03	1.256586155258e-03	4.071530433375e-01	4.071525296265e-01	-1.105180182200e-01	2.966345114042e-01	1.686053385628e-02
3.007812500000e+01	-7.037308626291e-04	-7.037308611777e-04	-4.769122833341e-06	-3.133908746053e-07	-7.084999854624e-04	-7.040442519923e-04	3.980758856632e-01	3.980783733545e-01	-1.113247190900e-01	2.867536542692e-01	1.813662418427e-02
3.016927083333e+01	-9.551338885593e-04	-9.551338884494e-04	5.212726343310e-06	7.569768606330e-07	-9.499211622160e-04	-9.543769116296e-04	3.892403708696e-01	3.892383669937e-01	-1.121314199500e-01	2.771069470456e-01	1.942050445495e-02
3.026041666667e+01	1.019152706394e-03	1.019152706761e-03	-4.941888792534e-06	-4.861175937137e-07	1.014210817602e-03	1.018666589126e-03	3.806157423159e-01	3.806167399776e-01	-1.129381208100e-01	2.676786191665e-01	2.069640397935e-02
3.035156250000e+01	1.285171070370e-03	1.285171069061e-03	5.447296267133e-06	9.915093429780e-07	1.290618366638e-03	1.286162578323e-03	3.722333764229e-01	3.722298823810e-01	-1.137448216700e-01	2.584850607070e-01	2.198071123473e-02
3.044270833333e+01	-7.104668645906e-04	-7.104668634193e-04	-5.112626281508e-06	-6.568172123655e-07	-7.155794908722e-04	-7.111236806625e-04	3.640605601643e-01	3.640600677980e-01	-1.145515225400e-01	2.495085452610e-01	2.325570120859e-02
3.053385416667e+01	-9.989392938955e-04	-9.989392924182e-04	5.638182134652e-06	1.182355903219e-06	-9.933011117608e-04	-9.977569365731e-04	3.561312800573e-01	3.561262958490e-01	-1.153582234000e-01	2.407680724491e-01	2.454037215311e-02
