z_A	nval_CHGCAR	nval_DBG	dencor_py	dencor_DBG	ne_py	ne_DBG	phisol_py_eV	phisol_DBG_eV	phi_final_DBG_eV
1.148437500000e+01	1.392914549661e+03	1.392914549661e+03	4.617345840370e-01	4.617276379745e-01	1.393376284246e+03	1.393376277300e+03	-4.728981377154e-01	-3.693468133624e-01	-2.319398284732e+00
1.157552083333e+01	1.337806789078e+03	1.337806789078e+03	4.154641819636e-01	4.154533112564e-01	1.338222253260e+03	1.338222242389e+03	-3.609807886951e-01	-2.590144044355e-01	-2.240555017378e+00
1.166666666667e+01	1.293871573772e+03	1.293871573772e+03	3.573539041661e-01	3.573594325361e-01	1.294228927676e+03	1.294228933204e+03	-2.539876631511e-01	-1.535992904876e-01	-2.167016710312e+00
1.175781250000e+01	1.268825366865e+03	1.268825366865e+03	2.866077492195e-01	2.866117226205e-01	1.269111974614e+03	1.269111978588e+03	-1.820095675119e-01	-8.320445160189e-02	-2.128821048872e+00
1.184895833333e+01	1.270261433631e+03	1.270261433631e+03	2.193797292339e-01	2.193978051192e-01	1.270480813360e+03	1.270480831436e+03	-1.882938848359e-01	-9.106153879665e-02	-2.169147273368e+00
1.194010416667e+01	1.306042750456e+03	1.306042750456e+03	1.906642807168e-01	1.906753310927e-01	1.306233414737e+03	1.306233425787e+03	-2.883847206296e-01	-1.927269598974e-01	-2.303517058321e+00
1.203125000000e+01	1.380394062497e+03	1.380394062497e+03	2.413200084720e-01	2.413381933010e-01	1.380635382506e+03	1.380635400691e+03	-4.293116066088e-01	-3.352171114740e-01	-2.478925437821e+00
1.212239583333e+01	1.487013672832e+03	1.487013672832e+03	3.829066552411e-01	3.829114944874e-01	1.487396579487e+03	1.487396584326e+03	-5.701162145647e-01	-4.775917702553e-01	-2.654418709525e+00
1.221354166667e+01	1.607540265476e+03	1.607540265476e+03	5.807467148203e-01	5.807553847412e-01	1.608121012191e+03	1.608121020861e+03	-7.022732843883e-01	-6.113097837307e-01	-2.821447713287e+00
1.230468750000e+01	1.717267023172e+03	1.717267023172e+03	7.689997218068e-01	7.689961063263e-01	1.718036022894e+03	1.718036019278e+03	-8.050942171097e-01	-7.156953696275e-01	-2.959333765908e+00
1.239583333333e+01	1.792896133955e+03	1.792896133955e+03	8.826991877477e-01	8.827035764251e-01	1.793778833143e+03	1.793778837532e+03	-8.545684487085e-01	-7.667227719226e-01	-3.044052989295e+00
