# units: z_A in Angstrom; densities in e/A^3; diff = reproduction - DFT
z_A	RHOB_DFT_e_per_A3	RHOB_repro_e_per_A3	RHOB_diff_e_per_A3	RHOION_DFT_e_per_A3	RHOION_repro_e_per_A3	RHOION_diff_e_per_A3
6.015625000000	-8.3128787862923118e-11	-8.3128776898160457e-11	1.0964762661554784e-17	5.6531720614094797e-21	-4.4464789085102862e-20	-5.0117961146512338e-20
6.106770833333	8.5474560761182236e-11	8.5474550726159312e-11	-1.0035022923381027e-17	3.9883457839297856e-21	-4.5801972736189680e-20	-4.9790318520119466e-20
6.197916666667	-8.7838508537631760e-11	-8.7838499797993774e-11	8.7396379862190399e-18	6.1901598477035125e-21	-3.9082879386800411e-20	-4.5273039234503923e-20
6.289062500000	9.0221338689883775e-11	9.0221330937015882e-11	-7.7528678929719022e-18	2.6196299373464855e-20	-1.7879987608013722e-20	-4.4076286981478580e-20
6.380208333333	-9.2623774371453513e-11	-9.2623767799042057e-11	6.5724114559674270e-18	-2.2292482024478737e-20	-6.3134561068446249e-20	-4.0842079043967511e-20
6.471354166667	9.5046565254906341e-11	9.5046559687419603e-11	-5.5674867386780993e-18	1.3605503534707203e-20	-2.6944060271464192e-20	-4.0549563806171395e-20
6.562500000000	-9.7490480781375043e-11	-9.7490476272891066e-11	4.5084839773191693e-18	-2.6062166509744490e-20	-6.3111356914999370e-20	-3.7049190405254881e-20
6.653645833333	9.9956314793719374e-11	9.9956311288752757e-11	-3.5049666173692211e-18	-2.1671542329866796e-20	-5.8598071904139855e-20	-3.6926529574273058e-20
6.744791666667	-1.0244488738979334e-10	-1.0244488488658023e-10	2.5032131037532686e-18	-3.0046378213970524e-20	-6.4404516994719673e-20	-3.4358138780749149e-20
6.835937500000	1.0495704658827433e-10	1.0495704499304726e-10	-1.5952270653916168e-18	3.9569424880802056e-21	-2.9661302125950199e-20	-3.3618244614030407e-20
6.927083333333	-1.0749366434817144e-10	-1.0749366374706057e-10	6.0111087159727517e-19	-4.4899325767735945e-20	-7.4993862763418538e-20	-3.0094536995682593e-20
7.018229166667	1.1005565012148185e-10	1.1005565031033274e-10	1.8885089146559681e-19	-9.0468458466326442e-21	-3.8790693455532430e-20	-2.9743847608899785e-20
7.109375000000	-1.1264393721918658e-10	-1.1264393837729826e-10	-1.1581116778706095e-18	-2.2010110402478773e-20	-5.0434312455795206e-20	-2.8424202053316435e-20
7.200520833333	1.1525949975015865e-10	1.1525950157333394e-10	1.8231752947443860e-18	-1.3289762507044663e-20	-4.2031865088653365e-20	-2.8742102581608702e-20
7.291666666667	-1.1790334207921025e-10	-1.1790334485258436e-10	-2.7733741045987234e-18	-3.1154926826800487e-20	-5.8774150404417352e-20	-2.7619223577616866e-20
7.382812500000	1.2057651166142271e-10	1.2057651493654971e-10	3.2751270007717582e-18	2.7060534697433339e-20	1.2696390698637540e-21	-2.5790895627569584e-20
7.473958333333	-1.2328009143055598e-10	-1.2328009564267986e-10	-4.2121238788027785e-18	-2.2781222093389212e-20	-5.0205316262589503e-20	-2.7424094169200288e-20
7.565104166667	1.2601521023640451e-10	1.2601521480570898e-10	4.5693044739592679e-18	1.6085186986967190e-20	-1.1605950560004067e-20	-2.7691137546971260e-20
7.656250000000	-1.2878304438898607e-10	-1.2878304979616236e-10	-5.4071762925319669e-18	-3.2437915660209402e-20	-6.0076541363817419e-20	-2.7638625703608016e-20
7.747395833333	1.3158481237320630e-10	1.3158481802192869e-10	5.6487223888781305e-18	-2.9025790590619864e-20	-5.7935854645408425e-20	-2.8910064054788560e-20
7.838541666667	-1.3442179213359245e-10	-1.3442179851301993e-10	-6.3794274790230266e-18	-5.2593709634253518e-20	-8.1959972553463505e-20	-2.9366262919209987e-20
7.929687500000	1.3729531524395665e-10	1.3729532171710889e-10	6.4731522381535072e-18	-2.2195371428019682e-20	-5.0177829744357156e-20	-2.7982458316337471e-20
8.020833333333	-1.4020670586907310e-10	-1.4020671291942150e-10	-7.0503484005883823e-18	-3.7618402733052283e-20	-6.6143187808868279e-20	-2.8524785075815996e-20
8.111979166667	1.4315944310002898e-10	1.4315945010437241e-10	7.0043434325021444e-18	-2.0567339514466742e-20	-4.8822039107171051e-20	-2.8254699592704312e-20
8.203125000000	-1.4610506492069637e-10	-1.4610507229766270e-10	-7.3769663264722625e-18	-2.9210828451110524e-20	-5.7455258425562046e-20	-2.8244429974451523e-20
8.294270833333	1.5001032374628330e-10	1.5001033087927953e-10	7.1329962290398005e-18	-2.9241249497061325e-20	-5.7285913525821641e-20	-2.8044664028760317e-20
8.385416666667	-1.4025843499355763e-10	-1.4025844339188974e-10	-8.3983321114660883e-18	-4.5020536952995296e-20	-6.9778176311232170e-20	-2.4757639358236875e-20
