z_A	RHOB_DFT_e_A3	RHOB_step05_e_A3	RHOB_step05_minus_DFT_e_A3	RHOION_DFT_e_A3	RHOION_step05_e_A3	RHOION_step05_minus_DFT_e_A3
1.303385416667e+01	3.163382819984e-06	3.172960323198e-06	9.5775e-09	-6.699354497986e-20	-1.007230406176e-21	6.59863e-20
1.312500000000e+01	-5.260548029090e-06	-5.250766412685e-06	9.78162e-09	-9.833005156311e-20	-3.039667956486e-20	6.79334e-20
1.321614583333e+01	-1.561569843655e-05	-1.561043916014e-05	5.25928e-09	-5.136695568974e-20	1.396765882009e-20	6.53346e-20
1.330729166667e+01	-2.694360380297e-05	-2.694359256718e-05	1.12358e-11	-1.043190006179e-19	-4.075803298768e-20	6.3561e-20
1.339843750000e+01	-3.836616251715e-05	-3.836988084018e-05	-3.71832e-09	-5.610355655191e-20	4.751841184152e-21	6.08554e-20
1.348958333333e+01	-4.910285955743e-05	-4.910914989529e-05	-6.29034e-09	-3.819774173133e-20	1.704147369391e-20	5.52392e-20
1.358072916667e+01	-5.871170590549e-05	-5.871885791118e-05	-7.15201e-09	-7.411594535600e-20	-2.503475468862e-20	4.90812e-20
1.367187500000e+01	-6.719800013954e-05	-6.720208972549e-05	-4.08959e-09	-6.450262818555e-20	-1.866722827044e-20	4.58354e-20
1.376302083333e+01	-7.477035770214e-05	-7.476738439385e-05	2.97331e-09	-7.120427138053e-21	7.075786199551e-21	1.41962e-20
1.385416666667e+01	-8.165503404605e-05	-8.164540932413e-05	9.62472e-09	-7.024961450587e-20	-4.236661045053e-20	2.7883e-20
1.394531250000e+01	-8.810642763627e-05	-8.809586992431e-05	1.05577e-08	-2.292962233516e-20	1.878820845881e-21	2.48084e-20
1.403645833333e+01	-9.449282045855e-05	-9.448758708635e-05	5.23337e-09	-2.731774244450e-20	-8.628315925164e-21	1.86894e-20
1.412760416667e+01	-1.013997087681e-04	-1.014012405040e-04	-1.53174e-09	-2.856941903695e-20	-1.614722723357e-20	1.24222e-20
1.421875000000e+01	-1.103147345629e-04	-1.103194599591e-04	-4.7254e-09	-7.512298288597e-21	-2.419751847635e-21	5.09255e-21
1.430989583333e+01	-1.248875486600e-04	-1.248910737273e-04	-3.52507e-09	5.168166612108e-20	5.098996574373e-20	-6.917e-22
1.440104166667e+01	-1.511582484654e-04	-1.511583187711e-04	-7.03057e-11	-2.336660270515e-20	-2.927069014869e-20	-5.90409e-21
1.449218750000e+01	-1.935868836252e-04	-1.935822157752e-04	4.66785e-09	4.149910278452e-20	3.137199904007e-20	-1.01271e-20
1.458333333333e+01	-2.469234679620e-04	-2.469114735284e-04	1.19944e-08	1.832744741019e-20	2.232099284808e-21	-1.60953e-20
1.467447916667e+01	-2.923720011447e-04	-2.923500993743e-04	2.19018e-08	3.023649134799e-20	1.270558520175e-20	-1.75309e-20
1.476562500000e+01	-3.097522342441e-04	-3.097225815294e-04	2.96527e-08	-1.100202894943e-20	-3.395859841195e-20	-2.29566e-20
1.485677083333e+01	-3.004516032767e-04	-3.004227774445e-04	2.88258e-08	-5.788966568876e-21	-3.053135702064e-20	-2.47424e-20
1.494791666667e+01	-2.929830647819e-04	-2.929641187867e-04	1.8946e-08	-2.405047809163e-20	-5.325505878404e-20	-2.92046e-20
1.503906250000e+01	-3.138337619610e-04	-3.138264283664e-04	7.33359e-09	4.907531025562e-21	-2.818690312387e-20	-3.30944e-20
1.513020833333e+01	-3.564514559316e-04	-3.564499246874e-04	1.53124e-09	-7.310732738793e-21	-4.242017787174e-20	-3.51094e-20
1.522135416667e+01	-3.943631769050e-04	-3.943609378052e-04	2.2391e-09	2.724798526140e-20	-1.148652840683e-20	-3.87345e-20
1.531250000000e+01	-4.192952833166e-04	-4.192898027023e-04	5.48061e-09	4.039256243232e-20	-1.323341125023e-21	-4.17159e-20
